"Unidade da Federação";"BCG";"Hepatite B  em crianças até 30 dias";"Rotavírus Humano";"Meningococo C";"Hepatite B";"Penta";"Pneumocócica";"Poliomielite";"Poliomielite 4 anos";"Febre Amarela";"Hepatite A";"Pneumocócica(1º ref)";"Meningococo C (1º ref)";"Poliomielite(1º ref)";"Tríplice Viral  D1";"Tríplice Viral  D2";"Tetra Viral(SRC+VZ)";"DTP";"DTP REF (4 e 6 anos)";"Tríplice Bacteriana(DTP)(1º ref)";"Sarampo";"Haemophilus influenzae b";"Dupla adulto e tríplice acelular gestante";"dTpa gestante";"Tetravalente (DTP/Hib) (TETRA)";"Ignorado";" Total"
"11 Rondônia";"836109";"181983";"364920";"281855";"734369";"230872";"284398";"777276";"74611";"735646";"169639";"207376";"208767";"188693";"608342";"190407";"159977";"618311";"82258";"186237";"288655";"73011";"111629";"101051";"388053";"6007745";"14092190"
"12 Acre";"455419";"89387";"174309";"135611";"327651";"105037";"130038";"384585";"30701";"332376";"74110";"86965";"90884";"88030";"312933";"77098";"67753";"258612";"40890";"85641";"98882";"14394";"41176";"34810";"205113";"3050113";"6792518"
"13 Amazonas";"2222314";"520548";"820504";"682344";"1506548";"547594";"663278";"1727340";"199361";"1647109";"425776";"512493";"527591";"473795";"1435047";"457940";"386494";"1272054";"233859";"454881";"529118";"125201";"292660";"283401";"895404";"13664863";"32507517"
"14 Roraima";"299190";"80947";"122164";"97405";"213461";"79654";"99541";"237644";"29633";"217817";"62641";"69657";"76239";"73580";"196312";"69945";"61617";"178422";"32635";"70903";"73860";"19972";"37750";"37085";"120770";"1858864";"4517708"
"15 Pará";"4438680";"748455";"1473195";"1085029";"2876073";"819877";"1031591";"3556709";"216459";"3022677";"612448";"767090";"793307";"691842";"2928271";"639791";"537256";"2799028";"314768";"687313";"1258013";"314660";"364752";"297760";"1912429";"32441276";"66628749"
"16 Amapá";"424189";"95417";"163335";"124505";"294711";"92274";"117580";"325045";"18364";"290491";"76116";"85917";"89554";"67546";"286607";"84450";"72951";"260751";"35545";"78450";"94869";"33825";"54443";"41253";"181746";"2695467";"6185401"
"17 Tocantins";"694549";"166148";"325986";"243434";"592635";"194202";"249334";"642991";"74052";"574431";"145284";"177454";"180745";"163234";"494191";"156876";"128323";"485937";"77847";"159401";"192613";"54591";"65645";"77430";"345196";"5466995";"12129524"
"21 Maranhão";"3973168";"688743";"1350266";"971744";"2387372";"764645";"942787";"2992530";"211865";"2793988";"551271";"685207";"706715";"649305";"2660014";"566925";"324723";"2357706";"276538";"641415";"1130150";"181438";"379681";"327533";"1660800";"28029466";"58205995"
"22 Piauí";"1531198";"285663";"609170";"441908";"1017206";"326629";"426260";"1323861";"118843";"948308";"254126";"318386";"326332";"279411";"1104412";"262828";"112858";"1080251";"135467";"287545";"475629";"135102";"136588";"124418";"665444";"12350328";"25078171"
"23 Ceará";"4305295";"806553";"1830987";"1383035";"3043273";"1068629";"1332991";"4045884";"364982";"109401";"816436";"1002954";"1030030";"952238";"3284600";"921943";"513244";"3131230";"397725";"908677";"1619457";"364667";"649278";"509615";"1886358";"33370129";"69649611"
"24 Rio Grande do Norte";"1441800";"279748";"560081";"420018";"967347";"320067";"424868";"1208681";"103768";"12705";"237639";"311349";"313589";"282508";"1002247";"255459";"139914";"991465";"127979";"276549";"448177";"92946";"159892";"135363";"641175";"11395981";"22551315"
"25 Paraíba";"1765800";"339436";"755253";"532501";"1266382";"434082";"558428";"1550233";"146516";"23734";"314677";"385714";"381785";"365340";"1364831";"324178";"161506";"1221150";"163210";"346965";"495567";"152740";"182435";"162682";"803923";"14535773";"28734841"
"26 Pernambuco";"4618022";"868969";"1848947";"1363803";"3129536";"1070325";"1387567";"4246207";"340002";"142102";"792407";"986384";"1018624";"917446";"3094907";"837424";"467740";"3113775";"399388";"898491";"1550553";"308032";"604077";"518798";"2046639";"35203865";"71774030"
"27 Alagoas";"1623316";"313023";"628802";"491881";"1149002";"387418";"475533";"1337922";"139318";"20524";"298380";"359461";"353553";"336784";"1136998";"296647";"167649";"1015348";"155626";"327431";"423849";"122846";"203501";"168306";"751211";"13090884";"25775213"
"28 Sergipe";"997296";"238170";"459328";"317105";"746543";"252389";"330357";"919215";"90542";"7529";"187500";"238468";"242832";"218308";"802665";"208111";"102360";"733059";"92471";"221648";"316355";"91932";"111753";"85334";"484511";"8185049";"16680830"
"29 Bahia";"6505244";"1124317";"2438333";"1969407";"4495016";"1369494";"1764462";"5588414";"444120";"4242067";"1074767";"1292020";"1361895";"1200863";"4951942";"1153638";"605260";"4518743";"560419";"1249914";"2088917";"548626";"580430";"523864";"2964117";"53033460";"107649749"
"31 Minas Gerais";"6762716";"1583071";"3635726";"2928913";"5903191";"2084055";"2724642";"6498949";"859417";"5165898";"1652595";"1950231";"2007916";"1867543";"6207744";"1793011";"803407";"5021293";"893724";"1859373";"1853184";"760131";"701852";"791732";"3617055";"67547456";"137474825"
"32 Espírito Santo";"1527922";"338056";"735831";"550405";"1421303";"424401";"560619";"1511749";"162534";"306283";"341337";"406297";"408773";"370613";"1221992";"371232";"181026";"1162274";"168438";"345136";"518243";"128365";"229053";"222818";"731079";"12580749";"26926528"
"33 Rio de Janeiro";"6495931";"1219197";"2724558";"2101524";"4491158";"1632737";"1963720";"5840126";"488193";"457173";"1252730";"1466097";"1471028";"1313038";"4991287";"1333384";"777373";"4437121";"540632";"1226882";"1843224";"640964";"700541";"752732";"2800138";"53122344";"106083832"
"35 São Paulo";"17115653";"3715231";"8206071";"6077328";"13239738";"4728116";"6114049";"15859131";"1832521";"3154659";"3604460";"4344559";"4443900";"4209330";"13851801";"4172899";"2455021";"12502017";"1804534";"4011037";"5626162";"1669266";"1849664";"1747583";"7951000";"133636970";"287922700"
"41 Paraná";"4410367";"841202";"2092207";"1582311";"3841485";"1241613";"1588394";"4121747";"499453";"1740134";"979787";"1156463";"1192803";"1044564";"3472244";"1107176";"912305";"3292357";"549426";"1030067";"1471332";"464818";"432794";"502955";"2063163";"35838912";"77470079"
"42 Santa Catarina";"2524227";"576687";"1270737";"968964";"2241480";"745501";"980095";"2406833";"333995";"502421";"608020";"709809";"729704";"662663";"1973470";"667862";"571879";"1878205";"304030";"632030";"853366";"230687";"305180";"310783";"1144164";"19428613";"43561405"
"43 Rio Grande do Sul";"3957344";"793434";"1766655";"1363745";"3010498";"1075391";"1344585";"3644776";"453082";"940644";"839080";"975587";"1006531";"930400";"2947506";"937005";"762329";"2897296";"465102";"881065";"1296946";"350596";"378496";"391241";"1780907";"35391938";"70582179"
"50 Mato Grosso do Sul";"1156975";"318537";"601605";"461420";"906026";"375220";"465921";"1059755";"146558";"957635";"282049";"353362";"355152";"338061";"957508";"293995";"255439";"807631";"146803";"326020";"283062";"89028";"173669";"156869";"569558";"8717027";"20554885"
"51 Mato Grosso";"1517404";"366652";"673111";"525911";"1076121";"418038";"512749";"1406015";"151378";"1177696";"325462";"391234";"402927";"363887";"1132122";"352192";"305926";"1055993";"160239";"356107";"469001";"108892";"192998";"177876";"689014";"10623953";"24932898"
"52 Goiás";"2703164";"532350";"1205197";"928134";"1935006";"714191";"911991";"2379252";"267014";"2086781";"561597";"661655";"679441";"622323";"2052031";"603846";"496841";"1881891";"269358";"557967";"813429";"237591";"244260";"303140";"1188308";"21236400";"46073158"
"53 Distrito Federal";"1295913";"350567";"592292";"451893";"1037540";"350455";"435345";"1111206";"134853";"357398";"278297";"326290";"336445";"304391";"967832";"324667";"269475";"857681";"135071";"296545";"22713";"165834";"191181";"162847";"563647";"8586108";"19906486"
"Total";"85599205";"17462491";"37429570";"28482133";"63850671";"21852906";"27821123";"76704076";"7932135";"31967627";"16818631";"20228479";"20737062";"18975736";"65439856";"18460929";"11800646";"59829601";"8563982";"18403690";"26135326";"7480155";"9375378";"8949279";"39050922";"681090728";"1430442337"
